Epoch,Train Loss,Train Acc,Val Acc,Val Loss
50.0,0.14454525878876448,95.215,87.84,0.4842318660419458
51.0,0.13683727225661277,95.445,87.89,0.458327876297152
52.0,0.13517148486971856,95.6,88.97,0.41815806631070035
53.0,0.13144769564419984,95.71,88.21,0.4538315879596267
54.0,0.13351394439637662,95.625,88.45,0.4500506193774521
55.0,0.12614630423337223,95.9025,88.92,0.41162110594617335
56.0,0.12058308563679457,96.0375,88.71,0.4802600327570727
57.0,0.12565537096112966,95.9475,89.27,0.41826932447826026
58.0,0.11618774581551551,96.2175,87.57,0.4970753548346507
59.0,0.11965606032013894,96.17,88.8,0.44482115112767096
60.0,0.11161212976947427,96.4075,88.69,0.4397459697381706
61.0,0.11125162464305759,96.3375,89.21,0.4214940362485351
62.0,0.10918459566012025,96.4875,88.92,0.4400770905291199
63.0,0.10244633510373533,96.6275,88.98,0.452508556282824
64.0,0.10064103757143021,96.7375,89.1,0.44399338495579493
65.0,0.10573722861930727,96.575,88.49,0.47455944443584247
66.0,0.10283630301728845,96.7125,89.32,0.4392332930568677
67.0,0.0988300584346056,96.8225,88.56,0.464952248866391
68.0,0.0998472282283008,96.695,88.2,0.48283780892943123
69.0,0.09680587560907006,96.8075,88.52,0.4785957028911372
70.0,0.09206061954107135,97.0275,88.71,0.4785171570671592
71.0,0.08982438662052154,97.12,88.76,0.4962090180035989
72.0,0.08779059180170298,97.1525,89.19,0.4385818645690277
73.0,0.09510152024887503,96.7975,88.65,0.5379239314585734
74.0,0.08634090814217925,97.1575,89.48,0.40316242399583957
75.0,0.07940138130355626,97.3775,89.54,0.44599837140672527
76.0,0.08266394271655009,97.3275,89.32,0.44368669352713663
77.0,0.08062471010629088,97.2925,89.36,0.48750897682016825
78.0,0.07992441289369016,97.55,87.97,0.4918864432034219
79.0,0.07759281143397093,97.505,88.65,0.4866534274569742
80.0,0.07952744178622961,97.45,89.45,0.46074335357755614
81.0,0.07940632878541946,97.45,89.44,0.4524324754146254
82.0,0.0779272243782878,97.505,89.49,0.43846632486838066
83.0,0.07746013258248567,97.5,89.1,0.4687582958181193
84.0,0.07391064309384673,97.705,89.67,0.45399636120363407
85.0,0.07908931461125612,97.44,89.57,0.45653949637606644
86.0,0.07158027744367719,97.695,88.72,0.5307994398057081
87.0,0.07629998785741628,97.585,89.27,0.47434542230834625
88.0,0.07588944648709148,97.62,89.85,0.43249091897515735
89.0,0.06358880413919688,97.9675,87.73,0.5639637620395915
90.0,0.07020866607911885,97.85,89.48,0.4739728478394496
91.0,0.070303917209059,97.765,89.98,0.4520738013325983
92.0,0.0670167710321024,97.9075,89.4,0.5014736757726427
93.0,0.06460892096683384,97.9325,89.62,0.5182831816992183
94.0,0.06583318324573338,97.9375,90.13,0.46124677715977286
95.0,0.06815250922758133,97.8025,90.2,0.4265354136064364
96.0,0.056977687562350186,98.215,89.87,0.46666836805024725
97.0,0.061918502186983825,97.98,90.07,0.4749166482620558
98.0,0.05972292573917657,98.1225,89.52,0.4992450279462489
99.0,0.06447709293048828,97.96,90.24,0.4108861564023859
100.0,0.058561772832926365,98.1325,89.74,0.466245801016024
